"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"1","21870","10000","1","0","2010-07-19 21:47:20.0","2010-07-19 21:47:20.0"
"252","21870","3039","5","0","2010-07-23 21:15:27.0","2010-07-20 16:05:31.0"
"618","11171","10000","1","0","2010-07-20 20:23:48.0","2010-07-20 20:23:48.0"
"4385","16654","10000","1","0","2010-07-22 12:21:32.0","2010-07-22 12:21:32.0"
"4386","19018","30000","1","0","2010-07-22 13:18:22.0","2010-07-22 13:18:22.0"
"4387","15383","20000","1","0","2010-07-22 13:19:48.0","2010-07-22 13:19:48.0"
"4388","19018","2000","1","0","2010-07-22 13:23:32.0","2010-07-22 13:23:32.0"
"4391","19018","3027","2","0","2010-07-26 17:41:47.0","2010-07-22 13:25:16.0"
"4393","21511","20000","1","0","2010-07-22 13:25:49.0","2010-07-22 13:25:49.0"
"4394","15383","3027","1","0","2010-07-22 13:27:45.0","2010-07-22 13:27:45.0"
"4398","19018","3039","4","0","2010-07-28 11:08:42.0","2010-07-22 13:28:23.0"
"4402","21509","10000","1","0","2010-07-22 13:30:52.0","2010-07-22 13:30:52.0"
"4417","15383","3063","1","0","2010-07-22 13:51:31.0","2010-07-22 13:51:31.0"
"4422","15383","2000","7","0","2010-07-26 17:33:53.0","2010-07-22 13:52:48.0"
"4424","15383","3039","0","0","2010-07-22 13:52:48.0","2010-07-22 13:52:48.0"
"4428","21509","3039","2","0","2010-07-22 13:59:09.0","2010-07-22 13:55:27.0"
"4436","21511","3039","22","0","2010-07-23 13:09:19.0","2010-07-22 14:06:56.0"
"4438","16654","3039","18","0","2010-07-23 16:00:50.0","2010-07-22 14:07:14.0"
"4446","21511","2000","18","0","2010-07-23 16:09:20.0","2010-07-22 14:09:12.0"
"4450","21511","3027","8","0","2010-07-26 14:30:40.0","2010-07-22 14:09:53.0"
"4469","21511","100","9","0","2010-07-23 12:28:42.0","2010-07-22 14:22:17.0"
