"id","sns_user_id","item_id","total_count","use_count","updated_at","created_at"
"2","15383","20001","2","2","2010-07-22 21:20:23.0","2010-07-20 12:39:40.0"
"5","15383","30001","1","1","2010-07-20 20:41:06.0","2010-07-20 20:41:06.0"
"6","19018","20001","1","1","2010-07-20 20:57:54.0","2010-07-20 20:57:54.0"
"7","15383","30002","1","1","2010-07-20 22:38:30.0","2010-07-20 22:38:30.0"
"12","15383","30003","1","1","2010-07-21 01:52:26.0","2010-07-21 01:52:26.0"
"13","21511","20001","1","1","2010-07-22 15:51:56.0","2010-07-22 15:51:56.0"
"14","17478","30001","10","10","2010-07-27 13:41:59.0","2010-07-22 16:06:25.0"
"15","21511","20002","1","1","2010-07-22 16:27:29.0","2010-07-22 16:27:29.0"
"17","21511","20003","1","1","2010-07-22 16:27:49.0","2010-07-22 16:27:49.0"
"18","21510","10001","6","4","2010-07-23 12:31:53.0","2010-07-22 17:18:32.0"
"20","21510","55555","1","1","2010-07-22 17:21:17.0","2010-07-22 17:21:17.0"
"21","21510","55556","1","1","2010-07-22 17:48:21.0","2010-07-22 17:48:21.0"
"23","21510","55557","1","1","2010-07-22 17:53:43.0","2010-07-22 17:53:43.0"
"24","16654","10001","3","1","2010-07-23 14:49:46.0","2010-07-22 18:58:49.0"
"25","15383","20002","1","1","2010-07-22 21:27:22.0","2010-07-22 21:27:22.0"
"29","21510","10002","3","3","2010-07-23 12:31:16.0","2010-07-23 11:52:31.0"
"32","21510","10003","1","1","2010-07-23 12:23:06.0","2010-07-23 12:23:06.0"
"34","21510","10004","1","1","2010-07-23 12:24:04.0","2010-07-23 12:24:04.0"
"41","21511","21000","1","1","2010-07-23 15:21:46.0","2010-07-23 15:21:46.0"
"42","16796","30001","1","1","2010-07-23 19:07:46.0","2010-07-23 19:07:46.0"
"43","15395","20001","17","17","2010-07-26 22:19:11.0","2010-07-24 09:55:29.0"
"45","15395","20002","14","14","2010-07-25 21:57:55.0","2010-07-24 10:13:39.0"
"46","15395","20003","12","12","2010-07-25 21:57:48.0","2010-07-24 10:34:32.0"
"47","15287","30001","5","5","2010-07-24 18:05:23.0","2010-07-24 11:10:48.0"
"48","15395","20004","5","5","2010-07-25 21:56:52.0","2010-07-24 16:39:53.0"
"49","15287","30002","3","3","2010-07-25 09:20:32.0","2010-07-24 17:23:06.0"
"50","15287","30003","2","2","2010-07-25 09:20:52.0","2010-07-24 18:06:20.0"
"51","15395","21000","3","3","2010-07-25 14:54:13.0","2010-07-24 21:18:39.0"
"52","15395","20017","1","1","2010-07-25 08:27:37.0","2010-07-25 08:27:37.0"
"53","15395","20005","3","3","2010-07-26 22:18:49.0","2010-07-25 13:31:00.0"
"54","15395","21001","1","1","2010-07-25 13:42:43.0","2010-07-25 13:42:43.0"
"55","15395","20025","5","5","2010-07-26 21:16:51.0","2010-07-25 14:33:46.0"
"56","15395","21002","2","2","2010-07-26 22:20:22.0","2010-07-25 16:39:28.0"
"58","15395","21004","2","2","2010-07-25 21:46:02.0","2010-07-25 18:04:32.0"
"59","17478","30002","5","5","2010-07-26 12:13:46.0","2010-07-26 11:57:15.0"
"61","17478","30003","5","5","2010-07-26 12:14:06.0","2010-07-26 11:57:27.0"
"64","17478","30005","1","1","2010-07-26 11:57:49.0","2010-07-26 11:57:49.0"
"71","17478","30025","1","1","2010-07-26 12:12:54.0","2010-07-26 12:12:54.0"
"81","17478","30026","2","2","2010-07-26 14:29:06.0","2010-07-26 12:15:00.0"
"82","17478","31000","1","1","2010-07-26 14:07:19.0","2010-07-26 14:07:19.0"
"83","17478","31001","1","1","2010-07-26 14:52:17.0","2010-07-26 14:52:17.0"
"85","17478","31002","1","1","2010-07-26 14:53:09.0","2010-07-26 14:53:09.0"
"86","17477","20001","4","4","2010-07-27 10:29:31.0","2010-07-26 15:07:01.0"
"87","17478","31003","1","1","2010-07-26 15:13:00.0","2010-07-26 15:13:00.0"
"88","17478","31016","1","1","2010-07-26 15:13:29.0","2010-07-26 15:13:29.0"
"90","17478","31017","1","1","2010-07-26 15:15:39.0","2010-07-26 15:15:39.0"
"91","17475","10001","2","0","2010-07-26 15:40:13.0","2010-07-26 15:39:51.0"
"94","17477","21004","4","0","2010-07-27 10:46:10.0","2010-07-27 10:33:55.0"
"95","17472","21017","8","0","2010-07-28 15:45:13.0","2010-07-27 10:40:03.0"
"96","17475","20001","1","1","2010-07-27 14:08:31.0","2010-07-27 14:08:31.0"
"97","15111","10000","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"98","15111","10001","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"99","15111","10002","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"100","15111","10003","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"101","15111","10004","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"102","15111","10005","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"103","15111","10006","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"104","15111","10007","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"105","15111","10008","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"106","15111","10009","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"107","15111","10010","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"108","15111","10013","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"109","15111","10014","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"110","15111","10015","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"111","15111","10016","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"112","15111","10017","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"113","15111","10018","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"114","15111","10019","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"115","15111","10020","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"116","15111","10021","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"117","15111","10022","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"118","15111","10023","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"119","15111","10024","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"120","15111","10025","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"121","15111","10026","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"122","15111","10027","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"123","15111","11000","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"124","15111","11001","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"125","15111","11002","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"126","15111","11003","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"127","15111","11004","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"128","15111","11005","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"129","15111","11006","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"130","15111","11007","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"131","15111","11008","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"132","15111","11009","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"133","15111","11010","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"134","15111","11011","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"135","15111","11012","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"136","15111","11013","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"137","15111","11014","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"138","15111","11015","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"139","15111","11016","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"140","15111","11017","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"141","15111","20000","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"142","15111","20001","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"143","15111","20002","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"144","15111","20003","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"145","15111","20004","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"146","15111","20005","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"147","15111","20006","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"148","15111","20007","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"149","15111","20008","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"150","15111","20009","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"151","15111","20010","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"152","15111","20013","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"153","15111","20014","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"154","15111","20015","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"155","15111","20016","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"156","15111","20017","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"157","15111","20018","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"158","15111","20019","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"159","15111","20020","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"160","15111","20021","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"161","15111","20022","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"162","15111","20023","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"163","15111","20024","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"164","15111","20025","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"165","15111","20026","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"166","15111","20027","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"167","15111","21000","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"168","15111","21001","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"169","15111","21002","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"170","15111","21003","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"171","15111","21004","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"172","15111","21005","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"173","15111","21006","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"174","15111","21007","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"175","15111","21008","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"176","15111","21009","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"177","15111","21010","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"178","15111","21011","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"179","15111","21012","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"180","15111","21013","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"181","15111","21014","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"182","15111","21015","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"183","15111","21016","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"184","15111","21017","500","492","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"185","15111","30000","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
"186","15111","30001","500","500","2010-07-27 16:24:59.0","2010-07-27 16:24:59.0"
